object_key,file_name,grade,subject,file_size,file_type
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\03 单元测试（2024）\第四单元 三国两晋南北朝时期：政权分立与民族分立 单元学情检测卷（含解析）\第四单元 三国两晋南北朝时期：政权分立与民族分立 单元学情检测卷（解析版）.docx,第四单元 三国两晋南北朝时期：政权分立与民族分立 单元学情检测卷（解析版）.docx,七年级,历史,29.75 KB,docx
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\04 单元测试（2024）\第一单元 史前时期：原始社会与中华文明的起源学情评估卷（含答案）2024-2025学年七年级历史上册 统编版.doc,第一单元 史前时期：原始社会与中华文明的起源学情评估卷（含答案）2024-2025学年七年级历史上册 统编版.doc,七年级,历史,397.00 KB,doc
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\04 单元测试（2024）\第一单元史前时期：原始社会与中华文明的起源学情评估卷（含答案）2024-2025学年七年级历史上册 部编版.doc,第一单元史前时期：原始社会与中华文明的起源学情评估卷（含答案）2024-2025学年七年级历史上册 部编版.doc,七年级,历史,1146.50 KB,doc
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\04 单元测试（2024）\第三单元 秦汉时期：统一多民族封建国家的建立和巩固学情评估卷（含答案）2024-2025学年七年级历史上册 部编版.doc,第三单元 秦汉时期：统一多民族封建国家的建立和巩固学情评估卷（含答案）2024-2025学年七年级历史上册 部编版.doc,七年级,历史,12426.00 KB,doc
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\04 单元测试（2024）\第三单元秦汉时期：统一多民族封建国家的建立和巩固学情评估卷（含答案）2024-2025学年七年级历史上册 统编版.doc,第三单元秦汉时期：统一多民族封建国家的建立和巩固学情评估卷（含答案）2024-2025学年七年级历史上册 统编版.doc,七年级,历史,244.00 KB,doc
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\04 单元测试（2024）\第二单元夏商周时期：奴隶制王朝的更替和向封建社会的过渡学情评估卷（含答案）2024-2025学年七年级历史上册 统编版.doc,第二单元夏商周时期：奴隶制王朝的更替和向封建社会的过渡学情评估卷（含答案）2024-2025学年七年级历史上册 统编版.doc,七年级,历史,812.00 KB,doc
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\04 单元测试（2024）\第二单元夏商周时期：奴隶制王朝的更替和向封建社会的过渡学情评估卷（含答案）2024-2025学年七年级历史上册 部编版.doc,第二单元夏商周时期：奴隶制王朝的更替和向封建社会的过渡学情评估卷（含答案）2024-2025学年七年级历史上册 部编版.doc,七年级,历史,5667.00 KB,doc
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\04 单元测试（2024）\第四单元 三国两晋南北朝时期：孕育统一和民族交融学情评估卷（含答案）2024-2025学年七年级历史上册 统编版.doc,第四单元 三国两晋南北朝时期：孕育统一和民族交融学情评估卷（含答案）2024-2025学年七年级历史上册 统编版.doc,七年级,历史,317.50 KB,doc
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\04 单元测试（2024）\第四单元学情评估卷（含答案）2024-2025学年七年级历史上册 部编版.doc,第四单元学情评估卷（含答案）2024-2025学年七年级历史上册 部编版.doc,七年级,历史,1425.50 KB,doc
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\05 单元测试（2024）\第一单元+少年有梦+【单元测试·基础卷】-2024-2025学年七年级道德与法治上册单元速记·巧练（统编版2024）（全国通用）\第一单元 少年有梦 【单元测试·基础卷】 （学生版）.docx,第一单元 少年有梦 【单元测试·基础卷】 （学生版）.docx,七年级,历史,28.81 KB,docx
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\05 单元测试（2024）\第一单元+少年有梦+【单元测试·基础卷】-2024-2025学年七年级道德与法治上册单元速记·巧练（统编版2024）（全国通用）\第一单元 少年有梦 【单元测试·基础卷】 （解析版）.docx,第一单元 少年有梦 【单元测试·基础卷】 （解析版）.docx,七年级,历史,34.48 KB,docx
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\05 单元测试（2024）\第一单元+少年有梦+【单元测试·提升卷】-2024-2025学年七年级道德与法治上册单元速记·巧练（统编版2024）（全国通用）\第一单元 少年有梦 【单元测试·提升卷】 （学生版）.docx,第一单元 少年有梦 【单元测试·提升卷】 （学生版）.docx,七年级,历史,148.79 KB,docx
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\05 单元测试（2024）\第一单元+少年有梦+【单元测试·提升卷】-2024-2025学年七年级道德与法治上册单元速记·巧练（统编版2024）（全国通用）\第一单元 少年有梦 【单元测试·提升卷】 （解析版）.docx,第一单元 少年有梦 【单元测试·提升卷】 （解析版）.docx,七年级,历史,229.84 KB,docx
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\05 单元测试（2024）\第三单元+珍爱我们的生命+【单元测试·基础卷】-2024-2025学年七年级道德与法治上册单元速记·巧练（全国通用，统编版2024）\第三单元 珍爱我们的生命 【单元测试·基础卷】 （学生版）.docx,第三单元 珍爱我们的生命 【单元测试·基础卷】 （学生版）.docx,七年级,历史,30.92 KB,docx
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\05 单元测试（2024）\第三单元+珍爱我们的生命+【单元测试·基础卷】-2024-2025学年七年级道德与法治上册单元速记·巧练（全国通用，统编版2024）\第三单元 珍爱我们的生命 【单元测试·基础卷】 （解析版）.docx,第三单元 珍爱我们的生命 【单元测试·基础卷】 （解析版）.docx,七年级,历史,37.24 KB,docx
